Equipo,Jugador,Posición,Edad,Nacionalidad,Cotización (USD)
INDEPENDIENTE,"Ortiz, Sergio",Volante,23,Argentina,"300,000"
INDEPENDIENTE,"Parmo, Tomás",Mediocampista ofensivo,16,Argentina,"20,000"
INDEPENDIENTE,"Quiñónez, Jhonny",Pivote,26,Ecuador,"600,000"
INDEPENDIENTE,"Toloza, Santiago",Mediocampista ofensivo,22,Argentina,"2,000,000"
INDEPENDIENTE,"Ávalos, Gabriel",Delantero centro,34,Paraguay,"1,300,000"
INDEPENDIENTE,"Canelo, Alexis",Delantero centro,32,Argentina,"1,000,000"
INDEPENDIENTE,"Giménez, Matías",Delantero centro,25,Argentina,"2,800,000"
INDEPENDIENTE,"Hidalgo, Santiago",Delantero centro,19,Argentina,"350,000"
INDEPENDIENTE,"López, Santiago",Wing izquierdo,18,Argentina,"2,000,000"
INDEPENDIENTE,"Maestro Puch, Ignacio",Delantero centro,21,Argentina,"1,300,000"
INDEPENDIENTE,"Tarzia, Diego",Interior izquierdo,21,Argentina,"100,000"
INDEPENDIENTE,"Vallejo, Nicolás",Wing derecho,20,Argentina,"700,000"
INDEPENDIENTE RIVADAVIA,"Centurión, Ezequiel",Arquero,27,Argentina,"800,000"
INDEPENDIENTE RIVADAVIA,"Lastra, Agustín",Arquero,23,Argentina,"25,000"
INDEPENDIENTE RIVADAVIA,"Marinelli, Gonzalo",Arquero,35,Argentina,"275,000"
INDEPENDIENTE RIVADAVIA,"Abecasis, Luciano",Lateral derecho,34,Argentina,"175,000"
INDEPENDIENTE RIVADAVIA,"Bianchi, Bruno",Defensor central,35,Argentina,"250,000"
INDEPENDIENTE RIVADAVIA,"Burgos, Esteban",Defensor central,32,Argentina,"350,000"
INDEPENDIENTE RIVADAVIA,"Gallardo, Nahuel",Lateral izquierdo,26,Argentina,"200,000"
INDEPENDIENTE RIVADAVIA,"Gómez, Luciano",Lateral derecho,28,Argentina,"150,000"
INDEPENDIENTE RIVADAVIA,"Milo, Federico",Lateral izquierdo,32,Argentina,"125,000"
INDEPENDIENTE RIVADAVIA,"Ostchega, Tobías",Lateral izquierdo,26,Argentina,"300,000"
INDEPENDIENTE RIVADAVIA,"Ruiz Díaz, Matías",Lateral derecho,28,Argentina,"200,000"
INDEPENDIENTE RIVADAVIA,"Segovia, Imanol",Defensor central,23,Argentina,"25,000"
INDEPENDIENTE RIVADAVIA,"Studer, Sheyko",Defensor central,21,Argentina,"25,000"
INDEPENDIENTE RIVADAVIA,"Villalba, Iván",Defensor central,29,Paraguay,"250,000"
INDEPENDIENTE RIVADAVIA,"Ascacíbar, Julián",Volante,23,Argentina,"25,000"
INDEPENDIENTE RIVADAVIA,"Cardillo, Mauricio",Wing derecho,21,Argentina,"25,000"
INDEPENDIENTE RIVADAVIA,"Ham, Ezequiel",Volante,30,Siria,"700,000"
INDEPENDIENTE RIVADAVIA,"Mulet, Agustín",Pivote,24,Argentina,"400,000"
INDEPENDIENTE RIVADAVIA,"Napolitano, Antonio",Volante,25,Argentina,"150,000"
INDEPENDIENTE RIVADAVIA,"Ortale, Mateo",Lateral derecho,22,Argentina,"25,000"
INDEPENDIENTE RIVADAVIA,"Ríos, Lautaro",Pivote,24,Argentina,"700,000"
INDEPENDIENTE RIVADAVIA,"Romero, Franco",Pivote,24,Argentina,"1,000,000"
INDEPENDIENTE RIVADAVIA,"Sequeira, Luis",Mediocampista ofensivo,21,Argentina,"200,000"
INDEPENDIENTE RIVADAVIA,"Tonetto, Diego",Interior izquierdo,35,Argentina,"25,000"
INDEPENDIENTE RIVADAVIA,"Vera, Fredy",Interior derecho,26,Paraguay,"400,000"
INDEPENDIENTE RIVADAVIA,"Álvez, Gonzalo",Mediocampista ofensivo,20,Argentina,"250,000"
INDEPENDIENTE RIVADAVIA,"Asenjo, Mauricio",Delantero centro,30,Argentina,"175,000"
INDEPENDIENTE RIVADAVIA,"Castro, Federico",Wing izquierdo,31,Argentina,"275,000"
INDEPENDIENTE RIVADAVIA,"Cavallaro, Juan",Mediocampista ofensivo,30,Argentina,"225,000"
INDEPENDIENTE RIVADAVIA,"Ramis, Victorio",Wing izquierdo,30,Argentina,"150,000"
INDEPENDIENTE RIVADAVIA,"Ríos, Gonzalo",Mediocampista ofensivo,25,Argentina,"1,200,000"
INDEPENDIENTE RIVADAVIA,"Romero, Fernando",Delantero centro,24,Paraguay,"375,000"
INDEPENDIENTE RIVADAVIA,"Sanguina, Jorge",Delantero centro,25,Paraguay,"500,000"
INDEPENDIENTE RIVADAVIA,"Sartori, Fabrizio",Wing derecho,22,Argentina,"50,000"
INDEPENDIENTE RIVADAVIA,"Villa, Sebastián",Wing izquierdo,28,Colombia,"3,000,000"
INSTITUTO,"Papaleo, Joaquín",Arquero,30,Argentina,"300,000"
INSTITUTO,"Roffo, Manuel",Arquero,24,Argentina,"4,000,000"
INSTITUTO,"Sittaro, Emanuel",Arquero,25,Argentina,"25,000"
INSTITUTO,"Alarcón, Fernando",Defensor central,30,Argentina,"1,500,000"
INSTITUTO,"Albornós, Santiago",Lateral izquierdo,20,Argentina,"25,000"
INSTITUTO,"Bay, Jonathan",Lateral izquierdo,31,Argentina,"200,000"
INSTITUTO,"Brizuela, Miguel",Defensor central,27,Argentina,"600,000"
INSTITUTO,"Cabrera, Víctor",Defensor central,31,Argentina,"250,000"
INSTITUTO,"Cerato, Giuliano",Lateral derecho,26,Argentina,"450,000"
INSTITUTO,"Franco, Juan José",Lateral derecho,32,Paraguay,"300,000"
INSTITUTO,"Requena, Gonzalo",Defensor central,21,Argentina,"1,000,000"
INSTITUTO,"Rodríguez, Lucas",Lateral izquierdo,31,Argentina,"200,000"
INSTITUTO,"Acevedo, Jonás",Wing izquierdo,27,Argentina,"1,500,000"
INSTITUTO,"Arcando, Felipe",Volante,20,Argentina,"45,000"
INSTITUTO,"Bochi, Roberto",Pivote,37,Argentina,"50,000"
INSTITUTO,"Cuello, Brahian",Interior derecho,27,Argentina,"350,000"
INSTITUTO,"Díaz, Franco",Volante,24,Argentina,"1,000,000"
INSTITUTO,"Dubersarsky, Nicolás",Volante,19,Argentina,"1,000,000"
INSTITUTO,"Lo Celso, Francesco",Mediocampista ofensivo,24,Argentina,"250,000"
INSTITUTO,"Lodico, Gastón",Volante,26,Argentina,"3,500,000"
INSTITUTO,"Moreyra, Stefano",Pivote,23,Argentina,"125,000"
INSTITUTO,"Romero, Matías",Volante,28,Argentina,"175,000"
INSTITUTO,"Batallini, Damián",Wing derecho,28,Argentina,"750,000"
INSTITUTO,"Lázaro, Jeremías",Mediocampista ofensivo,20,Argentina,"250,000"
INSTITUTO,"Puebla, Damián",Mediocampista ofensivo,22,Argentina,"4,000,000"
INSTITUTO,"Rodríguez, Gregorio",Delantero centro,24,Argentina,"450,000"
INSTITUTO,"Romero, Silvio",Delantero centro,36,Argentina,"275,000"
INSTITUTO,"Russo, Ignacio",Delantero centro,23,Argentina,"650,000"
INSTITUTO,"Suárez, Facundo",Delantero centro,30,Argentina,"800,000"
LANUS,"Aguerre, Alan",Arquero,34,Argentina,"200,000"
LANUS,"Calderari, Gustavo",Arquero,20,Argentina,"50,000"
LANUS,"Cláa, Nicolás",Arquero,20,Argentina,"100,000"
LANUS,"Losada, Nahuel",Arquero,31,Argentina,"3,000,000"
LANUS,"Cáceres, Juan",Lateral derecho,24,Paraguay,"2,500,000"
LANUS,"Izquierdoz, Carlos",Defensor central,36,Argentina,"600,000"
LANUS,"Luciatti, Abel",Defensor central,31,Argentina,"1,500,000"
LANUS,"Morgantini, Nicolás",Lateral derecho,30,Argentina,"600,000"
LANUS,"Muñoz, Ezequiel",Defensor central,34,Argentina,"100,000"
LANUS,"Ontivero, Octavio",Lateral izquierdo,18,Argentina,"200,000"
LANUS,"Pérez, Gonzalo",Defensor central,23,Uruguay,"500,000"
LANUS,"Soler, Julio",Lateral izquierdo,19,Argentina,"7,000,000"
LANUS,"Álvarez, Favio",Mediocampista ofensivo,31,Argentina,"400,000"
LANUS,"Boggio, Luciano",Volante,25,Uruguay,"1,500,000"
LANUS,"Carrera, Ramiro",Interior derecho,31,Argentina,"1,000,000"
LANUS,"Domínguez, Nery",Pivote,34,Argentina,"400,000"
LANUS,"Loaiza, Raúl",Pivote,30,Colombia,"1,000,000"
LANUS,"Peña Biafore, Felipe",Pivote,23,Argentina,"3,500,000"
LANUS,"Rodríguez, Agustín",Volante,20,Argentina,"200,000"
LANUS,"Acosta, Lautaro",Wing izquierdo,36,Argentina,"100,000"
LANUS,"Aquino, Dylan",Wing izquierdo,19,Argentina,"75,000"
LANUS,"Bou, Walter",Delantero centro,31,Argentina,"1,700,000"
LANUS,"Cabrera, Bruno",Delantero centro,21,Argentina,"50,000"
LANUS,"Díaz, Leandro",Delantero centro,32,Argentina,"1,000,000"
LANUS,"Moreno, Marcelino",Mediocampista ofensivo,29,Argentina,"4,000,000"
LANUS,"Salvio, Eduardo",Wing derecho,34,Argentina,"1,500,000"
LANUS,"Torres, Jonatan",Delantero centro,27,Argentina,"700,000"
NEWELLS OLD BOYS,"Hoyos, Lucas",Arquero,35,Argentina,"300,000"
NEWELLS OLD BOYS,"Macagno, Ramiro",Arquero,27,Argentina,"3,000,000"
NEWELLS OLD BOYS,"Reinatti, Josué",Arquero,21,Argentina,"35,000"
NEWELLS OLD BOYS,"Baños, Lucas",Defensor central,19,Argentina,"30,000"
NEWELLS OLD BOYS,"Calderara, Brian",Lateral izquierdo,26,Argentina,"200,000"
NEWELLS OLD BOYS,"Glavinovich, Ian",Defensor central,23,Argentina,"2,500,000"
NEWELLS OLD BOYS,"Jacob, Tomás",Defensor central,20,Argentina,"100,000"
NEWELLS OLD BOYS,"Martino, Ángelo",Lateral izquierdo,26,Argentina,"1,300,000"
NEWELLS OLD BOYS,"Méndez, Armando",Lateral derecho,28,Uruguay,"1,200,000"
NEWELLS OLD BOYS,"Salcedo, Saúl",Defensor central,27,Paraguay,"1,500,000"
NEWELLS OLD BOYS,"Schott, Augusto",Lateral derecho,24,Argentina,"350,000"
NEWELLS OLD BOYS,"Vangioni, Leonel",Lateral izquierdo,37,Argentina,"50,000"
NEWELLS OLD BOYS,"Velázquez, Gustavo",Defensor central,33,Argentina,"1,500,000"
NEWELLS OLD BOYS,"Acuña, Valentino",Mediocampista ofensivo,18,Argentina,"150,000"
NEWELLS OLD BOYS,"Banega, Ever",Volante,36,Argentina,"1,300,000"
NEWELLS OLD BOYS,"Cacciabue, Jerónimo",Volante,26,Argentina,"350,000"
NEWELLS OLD BOYS,"Carabajal, Gabriel",Mediocampista ofensivo,33,Argentina,"400,000"
NEWELLS OLD BOYS,"Fernández, Esteban",Mediocampista ofensivo,22,Argentina,"75,000"
NEWELLS OLD BOYS,"Fernández, Rodrigo",Pivote,28,Uruguay,"1,300,000"
NEWELLS OLD BOYS,"Méndez, Juan Ignacio",Pivote,27,Argentina,"1,500,000"
NEWELLS OLD BOYS,"Miljevic, Matko",Wing izquierdo,23,Estados Unidos,"700,000"
NEWELLS OLD BOYS,"Pérez, Tomás",Volante,19,Argentina,"45,000"
NEWELLS OLD BOYS,"Sotelo, David",Volante,21,Argentina,"25,000"
NEWELLS OLD BOYS,"Besozzi, Lucas",Wing izquierdo,21,Argentina,"1,500,000"
NEWELLS OLD BOYS,"Cardozo, Fernando",Interior derecho,23,Paraguay,"3,000,000"
NEWELLS OLD BOYS,"Chiaverano, Giovani",Wing derecho,19,Argentina,"150,000"
NEWELLS OLD BOYS,"García, Juan Manuel",Delantero centro,31,Argentina,"700,000"
NEWELLS OLD BOYS,"González, Francisco",Wing derecho,23,Argentina,"2,200,000"
NEWELLS OLD BOYS,"Jaime, Misael",Wing izquierdo,20,Argentina,"50,000"
NEWELLS OLD BOYS,"Ramírez, Juan Ignacio",Delantero centro,27,Argentina,"3,550,000"
NEWELLS OLD BOYS,"Silvetti, Mateo",Wing derecho,18,Argentina,"1,000,000"
PLATENSE,"Cozzani, Juan Pablo",Arquero,26,Argentina,"1,800,000"
PLATENSE,"Desabato, Andrés",Arquero,34,Argentina,"125,000"
PLATENSE,"Galimidi, Ramiro",Arquero,19,Argentina,"25,000"
PLATENSE,"Sumavil, Nicolás",Arquero,24,Argentina,"75,000"
PLATENSE,"Barros Schelotto, Bautista",Lateral derecho,24,Argentina,"175,000"
PLATENSE,"Lozano, Raúl",Lateral derecho,27,Argentina,"375,000"
PLATENSE,"Marcich, Sasha",Lateral izquierdo,26,Argentina,"650,000"
PLATENSE,"Pignani, Juan Pablo",Defensor central,23,Argentina,"200,000"
PLATENSE,"Quiroga, Agustín",Defensor central,22,Argentina,"50,000"
PLATENSE,"Saborido, Juan Ignacio",Lateral derecho,26,Argentina,"400,000"
PLATENSE,"Salomón, Oscar",Defensor central,25,Argentina,"300,000"
PLATENSE,"Suso, Gastón",Defensor central,33,Argentina,"400,000"
PLATENSE,"Valdivia, Gonzalo",Lateral izquierdo,23,Argentina,"100,000"
PLATENSE,"Vázquez, Ignacio",Defensor central,27,Argentina,"2,000,000"
PLATENSE,"Baldassarra, Franco",Volante,26,Argentina,"450,000"
PLATENSE,"Gómez, Iván",Pivote,27,Argentina,"2,500,000"
PLATENSE,"Hachen, Gabriel",Mediocampista ofensivo,34,Argentina,"300,000"
PLATENSE,"Juárez, Fernando",Volante,26,Argentina,"750,000"
PLATENSE,"Mainero, Guido",Wing derecho,29,Argentina,"300,000"
PLATENSE,"Montenegro, Lisandro",Mediocampista ofensivo,21,Argentina,"225,000"
PLATENSE,"Picco, Leonel",Pivote,26,Argentina,"800,000"
PLATENSE,"Rivero, Braian",Volante,28,Argentina,"325,000"
PLATENSE,"Russo, Facundo",Wing derecho,24,Argentina,"250,000"
PLATENSE,"Schor, Ignacio",Wing derecho,24,Argentina,"1,000,000"
PLATENSE,"Taborda, Vicente",Mediocampista ofensivo,23,Argentina,"1,500,000"
PLATENSE,"Villalba, Carlos",Pivote,26,Argentina,"600,000"
PLATENSE,"Zapiola, Franco",Mediocampista ofensivo,23,Argentina,"1,200,000"
PLATENSE,"Cervera, Tobías",Delantero centro,22,Siria,"1,500,000"
PLATENSE,"Goicochea, Juan Pablo",Delantero centro,19,Perú,"100,000"
PLATENSE,"Lotti, Augusto",Mediapunta,28,Argentina,"1,200,000"
PLATENSE,"Márquez, Rodrigo",Wing izquierdo,22,Argentina,"225,000"
PLATENSE,"Martínez, Ronaldo",Delantero centro,28,Paraguay,"1,300,000"
PLATENSE,"Minerva, Franco",Wing izquierdo,18,Argentina,"500,000"
PLATENSE,"Ocampo, Agustín",Wing izquierdo,26,Uruguay,"1,200,000"
PLATENSE,"Pellegrino, Mateo",Delantero centro,23,Argentina,"3,500,000"
PLATENSE,"Rius, Ciro",Wing derecho,36,Argentina,"100,000"
PLATENSE,"Tucker, Manuel",Wing derecho,20,Argentina,"25,000"
RACING,"Arias, Gabriel",Arquero,37,Argentina,"800,000"
RACING,"Cambeses, Facundo",Arquero,27,Argentina,"2,500,000"
RACING,"León, Roberto",Arquero,23,Argentina,"25,000"
RACING,"Colombo, Nazareno",Defensor central,25,Argentina,"2,700,000"
RACING,"Conti, Germán",Defensor central,30,Argentina,"500,000"
RACING,"Di Césare, Marco",Defensor central,22,Argentina,"6,000,000"
RACING,"Elordi, Juan Manuel",Lateral izquierdo,30,Argentina,"350,000"
RACING,"García Basso, Agustín",Defensor central,32,Argentina,"1,200,000"
RACING,"Martirena, Gastón",Lateral derecho,24,Uruguay,"3,000,000"
RACING,"Mura, Facundo",Lateral derecho,25,Argentina,"2,000,000"
RACING,"Núñez, Demian",Defensor central,19,Argentina,"25,000"
RACING,"Quirós, Santiago",Defensor central,21,Argentina,"1,000,000"
RACING,"Rojas, Gabriel",Lateral izquierdo,27,Argentina,"2,700,000"
RACING,"Sigali, Leonardo",Defensor central,37,Argentina,"200,000"
RACING,"Almendra, Agustín",Volante,24,Argentina,"1,700,000"
RACING,"Barrios, Martín",Volante,25,Uruguay,"700,000"
RACING,"Bergara, Matías",Wing derecho,20,Argentina,"375,000"
RACING,"González, David",Mediocampista ofensivo,21,Argentina,"50,000"
RACING,"Nardoni, Juan",Volante,22,Argentina,"6,000,000"
RACING,"Quintero, Juan Fernando",Mediocampista ofensivo,31,Colombia,"2,500,000"
RACING,"Rodríguez, Baltasar",Mediocampista ofensivo,21,Argentina,"3,500,000"
RACING,"Sosa, Santiago",Pivote,25,Argentina,"6,000,000"
RACING,"Vera, Santino",Volante,18,Argentina,"200,000"
RACING,"Zuculini, Bruno",Pivote,31,Argentina,"700,000"
RACING,"Acevedo, Matías",Mediocampista ofensivo,16,Argentina,"20,000"
RACING,"Carbonero, Johan",Wing izquierdo,25,Colombia,"2,200,000"
RACING,"Degregorio, Ramiro",Wing derecho,21,Argentina,"25,000"
RACING,"Martínez, Adrián",Delantero centro,32,Argentina,"3,500,000"
RACING,"Martínez, Roger",Delantero centro,30,Colombia,"1,800,000"
RACING,"Salas, Maximiliano",Delantero centro,26,Argentina,"2,500,000"
RACING,"Solari, Santiago",Wing derecho,26,Argentina,"3,200,000"
RACING,"Urzi, Agustín",Wing derecho,24,Argentina,"1,800,000"
RACING,"Vietto, Luciano",Delantero centro,30,Argentina,"2,000,000"
RIVER PLATE,"Armani, Franco",Arquero,38,Argentina,"1,000,000"
RIVER PLATE,"Beltrán, Santiago",Arquero,20,Argentina,"25,000"
RIVER PLATE,"Lavagnino, Lucas",Arquero,20,Argentina,"150,000"
RIVER PLATE,"Ledesma, Jeremías",Arquero,31,Argentina,"5,000,000"
RIVER PLATE,"Acuña, Marcos",Lateral izquierdo,33,Argentina,"4,000,000"
RIVER PLATE,"Bustos, Fabricio",Lateral derecho,28,Argentina,"7,000,000"
RIVER PLATE,"Casco, Milton",Lateral izquierdo,36,Argentina,"200,000"
RIVER PLATE,"Díaz, Enzo",Lateral izquierdo,28,Argentina,"3,000,000"
RIVER PLATE,"Díaz, Paulo",Defensor central,30,Chile,"5,500,000"
RIVER PLATE,"Funes Mori, Ramiro",Defensor central,33,Argentina,"350,000"
RIVER PLATE,"Gattoni, Federico",Defensor central,25,Argentina,"3,500,000"
RIVER PLATE,"González Pirez, Leandro",Defensor central,32,Argentina,"1,000,000"
RIVER PLATE,"Pezzella, Germán",Defensor central,33,Argentina,"3,000,000"
RIVER PLATE,"Sant'Anna, Agustín",Lateral derecho,27,Uruguay,"3,000,000"
RIVER PLATE,"Zabala, Daniel",Defensor central,21,Argentina,"50,000"
RIVER PLATE,"Aliendro, Rodrigo",Volante,33,Argentina,"1,200,000"
RIVER PLATE,"Echeverri, Claudio",Mediocampista ofensivo,18,Argentina,"18,000,000"
RIVER PLATE,"Fernández, Ignacio",Mediocampista ofensivo,34,Argentina,"1,800,000"
RIVER PLATE,"Fonseca, Nicolás",Pivote,26,Uruguay,"3,000,000"
RIVER PLATE,"Kranevitter, Matías",Pivote,31,Argentina,"1,200,000"
RIVER PLATE,"Lanzini, Manuel",Mediocampista ofensivo,31,Argentina,"2,000,000"
RIVER PLATE,"Meza, Maximiliano",Wing derecho,31,Argentina,"4,000,000"
RIVER PLATE,"Martínez, Gonzalo",Mediocampista ofensivo,31,Argentina,"2,000,000"
RIVER PLATE,"Mastantuono, Franco",Mediocampista ofensivo,17,Argentina,"13,000,000"
RIVER PLATE,"Simón, Santiago",Interior derecho,22,Argentina,"4,000,000"
RIVER PLATE,"Villagra, Rodrigo",Pivote,23,Argentina,"6,000,000"
RIVER PLATE,"Bareiro, Adam",Delantero centro,28,Paraguay,"6,000,000"
RIVER PLATE,"Borja, Miguel",Delantero centro,31,Colombia,"4,500,000"
RIVER PLATE,"Colidio, Facundo",Delantero centro,24,Argentina,"5,000,000"
RIVER PLATE,"Ruberto, Agustín",Delantero centro,18,Argentina,"3,000,000"
RIVER PLATE,"Solari, Pablo",Wing derecho,23,Argentina,"7,000,000"
RIVER PLATE,"Subiabre, Ian",Wing izquierdo,17,Argentina,"1,200,000"
ROSARIO CENTRAL ,"Broun, Jorge",Arquero,38,Argentina,"150,000"
ROSARIO CENTRAL ,"Quintero, Valentino",Arquero,21,Argentina,"25,000"
ROSARIO CENTRAL ,"Werner, Axel",Arquero,28,Argentina,"500,000"
ROSARIO CENTRAL ,"Barbieri, Miguel",Defensor central,31,Argentina,"1,500,000"
ROSARIO CENTRAL ,"Bravo, Agustín",Defensor central,23,Argentina,"125,000"
ROSARIO CENTRAL ,"Coronel, Emanuel",Lateral derecho,27,Argentina,"2,500,000"
ROSARIO CENTRAL ,"Giménez, Juan",Defensor central,18,Argentina,"1,500,000"
ROSARIO CENTRAL ,"Komar, Juan Cruz",Defensor central,28,Argentina,"800,000"
ROSARIO CENTRAL ,"Mallo, Facundo",Defensor central,29,Uruguay,"1,800,000"
ROSARIO CENTRAL ,"Martínez, Damián",Lateral derecho,34,Argentina,"250,000"
ROSARIO CENTRAL ,"Quintana, Carlos",Defensor central,36,Argentina,"125,000"
ROSARIO CENTRAL ,"Rodríguez, Alan",Lateral izquierdo,24,Paraguay,"1,500,000"
ROSARIO CENTRAL ,"Sández, Agustín",Lateral izquierdo,23,Paraguay,"1,500,000"
ROSARIO CENTRAL ,"Silva, Kevin",Defensor central,21,Argentina,"25,000"
ROSARIO CENTRAL ,"Burgos, Santiago",Lateral derecho,18,Argentina,"20,000"
ROSARIO CENTRAL ,"Campaz, Jaminton",Wing izquierdo,24,Colombia,"6,500,000"
ROSARIO CENTRAL ,"Giaccone, Lautaro",Wing izquierdo,23,Argentina,"1,500,000"
ROSARIO CENTRAL ,"Gómez, Jonatan",Mediocampista ofensivo,34,Argentina,"300,000"
ROSARIO CENTRAL ,"Ibarra, Franco",Pivote,23,Argentina,"1,800,000"
ROSARIO CENTRAL ,"Malcorra, Ignacio",Mediocampista ofensivo,37,Argentina,"450,000"
ROSARIO CENTRAL ,"Martínez, Mauricio",Pivote,31,Argentina,"600,000"
ROSARIO CENTRAL ,"Ocampo, Elías",Interior derecho,20,Argentina,"300,000"
ROSARIO CENTRAL ,"O'Connor, Tomás",Volante,20,Argentina,"2,500,000"
ROSARIO CENTRAL ,"Ortiz, Kevin",Pivote,24,Argentina,"2,500,000"
ROSARIO CENTRAL ,"Solari, Augusto",Interior derecho,32,Argentina,"800,000"
ROSARIO CENTRAL ,"Copetti, Enzo",Delantero centro,28,Argentina,"4,000,000"
ROSARIO CENTRAL ,"Lovera, Maximiliano",Wing izquierdo,25,Argentina,"700,000"
ROSARIO CENTRAL ,"Martínez Dupuy, Luca",Delantero centro,23,México,"700,000"
ROSARIO CENTRAL ,"Módica, Agustín",Delantero centro,21,Italia,"1,500,000"
ROSARIO CENTRAL ,"Ruben, Marco",Delantero centro,38,Argentina,"25,000"
SAN LORENZO,"Altamirano, Facundo",Arquero,28,Argentina,"1,800,000"
SAN LORENZO,"Clemente, Mateo",Arquero,22,Argentina,"25,000"
SAN LORENZO,"Gómez, Gastón",Arquero,28,Argentina,"1,000,000"
SAN LORENZO,"López Kaleniuk, Lautaro",Arquero,23,Argentina,"50,000"
SAN LORENZO,"Arias, Nahuel",Lateral derecho,19,Argentina,"600,000"
SAN LORENZO,"Báez, Elías",Lateral izquierdo,20,Argentina,"500,000"
SAN LORENZO,"Braida, Malcom",Lateral izquierdo,27,Argentina,"4,000,000"
SAN LORENZO,"Campi, Gastón",Defensor central,33,Argentina,"250,000"
SAN LORENZO,"Hernández, Gastón",Defensor central,26,Argentina,"4,000,000"
SAN LORENZO,"Herrera, Daniel",Defensor central,20,Argentina,"20,000"
SAN LORENZO,"Luján, Gonzalo",Lateral derecho,23,Argentina,"3,000,000"
SAN LORENZO,"Romaña, Jhohan",Defensor central,26,Colombia,"3,000,000"
SAN LORENZO,"Tripichio, Nicolás",Lateral derecho,28,Argentina,"1,500,000"
SAN LORENZO,"Barrios, Nahuel",Wing izquierdo,26,Argentina,"3,500,000"
SAN LORENZO,"Insaurralde, Manuel",Volante,25,Argentina,"275,000"
SAN LORENZO,"Irala, Elián",Pivote,20,Argentina,"6,000,000"
SAN LORENZO,"Leguizamón, Iván",Wing derecho,22,Paraguay,"3,800,000"
SAN LORENZO,"Porra, Tomás",Mediocampista ofensivo,20,Argentina,"25,000"
SAN LORENZO,"Remedi, Eric",Pivote,29,Argentina,"1,300,000"
SAN LORENZO,"Sosa, Santiago Nahuel",Volante,19,Argentina,"1,000,000"
SAN LORENZO,"Blanco, Sebastián",Mediocampista ofensivo,36,Argentina,"200,000"
SAN LORENZO,"Bustos, Nahuel",Delantero centro,26,Argentina,"3,000,000"
SAN LORENZO,"Cerutti, Ezequiel",Wing derecho,32,Argentina,"225,000"
SAN LORENZO,"Cuello, Alexis",Delantero centro,24,Argentina,"2,000,000"
SAN LORENZO,"Fydriszewski, Francisco",Delantero centro,31,Argentina,"1,200,000"
SAN LORENZO,"Hausch, Agustín",Delantero centro,21,Argentina,"75,000"
SAN LORENZO,"Muniain, Iker",Mediocampista ofensivo,31,España,"5,000,000"
SAN LORENZO,"Reali, Matías",Wing derecho,27,Argentina,"2,300,000"
SAN LORENZO,"Vombergar, Andrés",Delantero centro,29,Eslovenia,"3,000,000"
SARMIENTO,"Acosta, Lucas",Arquero,29,Argentina,"750,000"
SARMIENTO,"Ayala, Thyago",Arquero,23,Argentina,"50,000"
SARMIENTO,"Champagne, Nereo",Arquero,39,Argentina,"10,000"
SARMIENTO,"Pourtau, Jerónimo",Arquero,24,Argentina,"275,000"
SARMIENTO,"Díaz, Gabriel",Lateral izquierdo,24,Argentina,"1,500,000"
SARMIENTO,"Guasone, Juan Cruz",Defensor central,23,Argentina,"300,000"
SARMIENTO,"Insaurralde, Juan Manuel",Defensor central,40,Argentina,"300,000"
SARMIENTO,"López, Elías",Lateral derecho,24,Argentina,"300,000"
SARMIENTO,"Morales, Santiago",Defensor central,23,Argentina,"50,000"
SARMIENTO,"Paredes, Franco",Defensor central,25,Argentina,"1,000,000"
SARMIENTO,"Roncaglia, Facundo",Defensor central,37,Argentina,"25,000"
SARMIENTO,"Sauro, Gastón",Defensor central,34,Argentina,"200,000"
SARMIENTO,"Vallejos, Jeremías",Lateral derecho,21,Argentina,"35,000"
SARMIENTO,"Andrada, Juan",Pivote,29,Argentina,"400,000"
SARMIENTO,"Arismendi, Yair",Wing izquierdo,26,Argentina,"250,000"
SARMIENTO,"Calcaterra, Diego",Defensor central,23,Argentina,"300,000"
SARMIENTO,"Gaitán, Nicolás",Mediocampista ofensivo,36,Argentina,"125,000"
SARMIENTO,"García, Manuel",Pivote,25,Argentina,"1,000,000"
SARMIENTO,"Gho, Joaquín",Interior derecho,21,Argentina,"1,500,000"
SARMIENTO,"Gudiño, Gabriel",Wing derecho,32,Argentina,"275,000"
SARMIENTO,"Méndez, Emiliano",Pivote,35,Argentina,"50,000"
SARMIENTO,"Mónaco, Manuel",Mediocampista ofensivo,22,Argentina,"400,000"
SARMIENTO,"Paradela, Federico",Volante,23,Argentina,"125,000"
SARMIENTO,"Quiroga, Sergio",Mediocampista ofensivo,30,Argentina,"300,000"
SARMIENTO,"Azcurra, Diego",Wing derecho,26,Argentina,"25,000"
SARMIENTO,"Burgoa, Valentín",Mediocampista ofensivo,24,Argentina,"250,000"
SARMIENTO,"Cabezas, Bryan",Wing izquierdo,27,Ecuador,"25,000"
SARMIENTO,"Hauche, Gabriel",Mediapunta,37,Argentina,"75,000"
SARMIENTO,"López, Lisandro",Delantero centro,41,Argentina,"100,000"
SARMIENTO,"Morales Bravo, Iván",Delantero centro,25,Chile,"400,000"
SARMIENTO,"Naya, Ezequiel",Delantero centro,23,Argentina,"100,000"
TALLERES (C),"Herrera, Guido",Arquero,32,Argentina,"2,500,000"
TALLERES (C),"Blázquez, Joaquín",Arquero,23,Argentina,"300,000"
TALLERES (C),"Morales, Lautaro",Arquero,24,Argentina,"1,500,000"
